time,hand_label,x,y,z
1751978057.776,left,-174.026,538.200,151.020
1751978057.868,left,-138.353,528.354,121.885
1751978057.913,left,-120.632,515.867,133.932
1751978057.959,left,-123.005,513.639,129.064
1751978058.026,left,-124.110,512.615,126.123
1751978058.076,left,-137.317,517.722,125.668
1751978058.118,left,-148.601,514.020,143.909
1751978058.165,left,-168.804,523.684,137.063
1751978058.203,left,-174.649,518.171,155.470
1751978058.240,left,-201.723,508.071,167.051
1751978058.287,left,-205.493,493.690,200.149
1751978058.332,left,-219.113,504.808,198.255
1751978058.376,left,-226.606,497.793,195.704
1751978058.415,left,-252.679,512.699,218.521
1751978058.453,left,-246.633,488.099,237.381
1751978058.495,left,-263.838,491.589,227.993
1751978058.540,left,-269.971,483.791,230.521
1751978058.584,left,-284.700,469.336,221.443
1751978058.636,left,-289.303,460.345,222.062
1751978058.683,left,-286.141,478.197,221.796
1751978058.737,left,-295.187,462.930,215.821
1751978058.790,left,-305.852,454.419,213.358
1751978058.842,left,-310.447,450.951,216.586
1751978058.882,left,-315.041,446.904,213.841
1751978058.931,left,-316.590,443.877,214.049
1751978058.977,left,-321.180,442.695,212.099
1751978059.021,left,-325.792,438.168,212.396
1751978059.058,left,-328.919,435.567,209.556
1751978059.099,left,-346.018,413.024,209.066
1751978059.134,left,-347.864,412.410,201.078
1751978059.182,left,-349.172,411.747,207.133
1751978059.233,left,-350.894,413.870,201.955
1751978059.278,left,-352.139,413.083,209.022
1751978059.329,left,-350.674,414.833,206.900
1751978059.391,left,-350.455,415.779,211.846
1751978059.438,right,-557.596,432.220,192.260
1751978059.473,right,-557.045,435.862,187.990
1751978059.513,right,-557.630,474.005,199.269
1751978059.565,right,-557.104,473.646,201.304
1751978059.609,right,-556.093,473.990,199.280
1751978059.645,left,-349.321,416.943,201.743
1751978059.692,left,-334.890,436.450,214.466
1751978059.739,left,-349.337,415.399,201.855
1751978059.781,left,-333.394,436.576,213.464
1751978059.833,left,-349.204,416.589,204.778
1751978059.878,left,-349.032,417.650,208.713
1751978059.920,left,-348.649,419.609,217.597
1751978059.964,left,-348.610,419.486,218.609
1751978060.022,left,-348.478,420.629,221.535
1751978060.071,left,-346.826,423.252,224.364
1751978060.112,left,-344.042,425.635,217.192
1751978060.160,left,-341.027,424.088,217.324
1751978060.217,left,-341.134,422.949,214.397
1751978060.263,left,-336.976,423.248,199.364
1751978060.293,left,-335.311,422.611,204.434
1751978060.338,left,-318.036,443.907,224.064
1751978060.383,left,-332.404,423.576,196.362
1751978060.432,left,-315.047,442.374,224.194
1751978060.494,left,-330.685,424.106,204.356
1751978060.547,left,-329.218,424.594,200.320
1751978060.582,left,-329.150,425.757,203.244
1751978060.627,left,-329.082,426.910,206.169
1751978060.682,left,-329.189,429.362,198.973
1751978060.742,left,-313.404,455.077,228.300
1751978060.781,right,-563.571,403.884,213.317
1751978060.817,right,-566.707,394.770,213.955
1751978060.854,right,-570.355,390.408,212.241
1751978060.898,right,-569.995,382.211,219.854
1751978060.953,right,-572.401,377.911,217.141
1751978060.994,right,-571.616,371.616,220.608
1751978061.027,right,-582.526,403.193,236.304
1751978061.073,right,-569.307,366.858,223.975
1751978061.104,right,-567.814,365.332,224.095
1751978061.147,right,-566.582,365.382,223.097
1751978061.194,right,-565.899,365.559,220.080
1751978061.243,right,-564.947,364.151,218.183
1751978061.297,right,-562.612,363.950,221.221
1751978061.347,right,-563.717,362.677,217.295
1751978061.394,right,-561.910,364.122,218.205
1751978061.448,right,-561.353,365.515,220.113
1751978061.506,right,-561.307,370.067,219.785
1751978061.548,right,-561.245,376.136,219.347
1751978061.593,right,-559.846,380.286,224.069
1751978061.637,right,-560.071,384.899,222.732
1751978061.689,right,-561.774,392.561,221.165
1751978061.730,right,-563.831,378.663,226.166
1751978061.768,right,-562.179,405.224,229.272
1751978061.807,right,-558.407,431.172,245.470
1751978061.852,left,-293.658,407.680,264.939
1751978061.897,left,-293.731,400.473,265.459
1751978061.938,left,-306.951,372.070,263.413
1751978061.989,left,-295.187,389.427,261.234
1751978062.033,left,-289.186,415.216,261.416
1751978062.078,left,-289.215,412.324,261.625
1751978062.132,left,-290.623,411.129,259.697
1751978062.164,left,-292.071,411.143,259.686
1751978062.208,left,-292.071,411.143,259.686
1751978062.257,left,-292.071,411.143,259.686
1751978062.304,left,-293.474,411.395,257.654
1751978062.367,left,-293.474,411.395,257.654
1751978062.410,left,-293.438,412.968,256.538
1751978062.460,left,-293.416,413.089,255.526
1751978062.509,left,-293.357,414.790,253.399
1751978062.545,left,-305.252,385.042,246.445
1751978062.592,left,-305.229,386.605,245.330
1751978062.647,left,-305.237,386.516,246.339
1751978062.682,left,-303.735,389.450,246.137
1751978062.720,left,-318.625,371.754,249.323
1751978062.779,left,-322.980,379.315,246.743
1751978062.830,left,-331.501,394.921,252.579
1751978062.891,left,-342.212,413.467,231.117
1751978062.943,left,-356.562,431.942,237.710
1751978063.001,left,-365.661,446.298,230.598
1751978063.052,left,-362.904,451.195,198.179
1751978063.100,left,-307.420,469.795,260.363
1751978063.140,left,-300.467,431.055,251.175
1751978063.188,left,-287.861,398.055,260.659
1751978063.230,left,-289.340,407.638,264.970
1751978063.283,left,-288.615,448.476,249.994
1751978063.333,left,-280.365,412.842,256.632
1751978063.383,left,-318.695,508.351,240.461
1751978063.431,left,-338.153,506.790,228.415
1751978063.475,left,-298.416,448.697,220.838
1751978063.521,left,-295.135,450.842,206.668
1751978063.573,left,-287.772,473.149,225.158
1751978063.614,left,-286.275,473.135,225.169
1751978063.671,right,-555.145,433.125,272.421
1751978063.715,right,-571.493,422.158,271.101
1751978063.750,right,-572.166,415.277,269.588
1751978063.804,right,-569.702,416.360,248.471
1751978063.858,right,-551.907,360.359,255.639
1751978063.895,right,-546.771,422.252,246.190
1751978063.940,right,-550.139,417.391,250.530
1751978063.985,right,-556.065,408.680,251.120
1751978064.017,right,-556.355,407.333,250.213
1751978064.059,right,-555.819,405.646,252.343
1751978064.113,right,-558.207,402.538,254.557
1751978064.161,right,-561.201,398.628,264.846
1751978064.218,right,-558.290,399.113,259.817
1751978064.266,right,-553.849,409.559,243.050
1751978064.313,right,-554.909,405.856,250.329
1751978064.356,right,-563.166,399.878,252.712
1751978064.402,right,-562.032,399.457,256.760
1751978064.452,right,-562.315,399.562,255.748
1751978064.503,right,-559.316,404.667,234.344
1751978064.565,left,-270.401,437.229,294.039
1751978064.617,right,-553.750,407.155,238.211
1751978064.662,right,-551.453,408.283,241.152
1751978064.713,right,-552.536,407.253,237.209
1751978064.758,left,-280.490,411.031,259.770
1751978064.799,left,-293.261,418.085,250.153
1751978064.858,left,-297.575,415.932,244.265
1751978064.915,right,-549.432,409.516,243.082
1751978064.973,left,-269.481,427.457,243.616
1751978065.012,right,-553.411,411.243,227.892
1751978065.057,left,-293.014,409.658,234.722
1751978065.094,right,-551.650,411.113,228.915
1751978065.130,right,-552.705,411.574,224.865
1751978065.178,right,-552.969,411.689,223.852
1751978065.235,left,-303.207,414.970,215.221
1751978065.294,left,-295.536,447.580,227.956
1751978065.339,left,-280.840,432.045,232.182
1751978065.373,left,-277.797,430.797,230.287
1751978065.406,left,-282.150,437.111,227.797
1751978065.454,left,-295.671,410.218,216.617
1751978065.507,left,-298.678,410.472,214.573
1751978065.556,left,-297.173,410.345,215.595
1751978065.616,left,-291.076,436.125,224.802
1751978065.678,left,-292.541,437.787,223.670
1751978065.732,left,-292.600,435.997,225.804
1751978065.782,left,-294.080,436.154,224.780
1751978065.818,left,-297.002,439.628,221.502
1751978065.853,right,-558.865,417.556,212.361
1751978065.900,right,-557.783,418.593,216.304
1751978065.936,right,-558.316,418.836,214.277
1751978065.980,right,-558.301,420.357,214.168
1751978066.018,right,-560.798,420.140,216.172
1751978066.057,right,-559.308,420.296,227.200
1751978066.116,right,-562.731,425.164,235.849
1751978066.160,left,-295.401,419.199,286.153
1751978066.248,left,-281.836,488.979,314.290
