time,x,y,z
1751976370.055,-398.122,435.485,255.011
1751976370.117,-398.120,435.467,255.020
1751976370.153,-398.142,435.470,255.060
1751976370.195,-398.106,435.484,255.052
1751976370.246,-398.097,435.490,255.036
1751976370.292,-398.115,435.489,255.052
1751976370.337,-398.118,435.474,255.009
1751976370.382,-398.132,435.470,255.005
1751976370.428,-398.138,435.465,255.035
1751976370.473,-398.093,435.497,255.011
1751976370.523,-398.115,435.501,255.029
1751976370.571,-398.100,435.487,255.006
1751976370.627,-398.088,435.498,255.018
1751976370.675,-398.116,435.489,255.024
1751976370.717,-398.114,435.472,255.033
1751976370.775,-398.086,435.501,255.018
1751976370.829,-398.133,435.469,255.031
1751976370.880,-398.113,435.485,255.028
1751976370.926,-398.110,435.482,255.041
1751976370.964,-398.108,435.482,255.028
1751976371.016,-398.133,435.466,255.022
1751976371.065,-398.106,435.490,255.047
1751976371.122,-398.095,435.487,255.029
1751976371.161,-398.105,435.467,255.026
1751976371.207,-398.093,435.483,255.057
1751976371.248,-398.135,435.475,255.061
1751976371.303,-398.130,435.476,255.035
1751976371.360,-398.113,435.490,255.033
1751976371.410,-398.111,435.478,255.036
1751976371.444,-398.129,435.465,255.055
1751976371.483,-398.130,435.457,255.039
1751976371.514,-398.140,435.476,255.044
1751976371.552,-398.118,435.480,255.016
1751976371.594,-398.101,435.493,255.059
1751976371.648,-398.097,435.477,255.012
1751976371.696,-398.141,435.465,255.045
1751976371.749,-398.117,435.474,255.018
1751976371.796,-398.092,435.477,255.012
1751976371.839,-398.141,435.476,255.044
1751976371.881,-398.117,435.487,255.034
1751976371.933,-398.111,435.495,255.048
1751976371.966,-398.136,435.476,255.037
1751976372.017,-398.101,435.493,255.043
1751976372.066,-398.134,435.471,255.068
1751976372.102,-398.117,435.481,255.035
1751976372.143,-398.117,435.480,255.005
1751976372.187,-398.127,435.475,255.025
1751976372.238,-398.114,435.475,255.032
1751976372.283,-398.100,435.483,255.019
1751976372.330,-398.138,435.475,255.042
1751976372.385,-398.080,435.486,255.012
1751976372.430,-398.108,435.466,255.038
1751976372.463,-398.107,435.489,255.032
1751976372.493,-398.121,435.465,255.018
1751976372.529,-398.077,435.492,255.057
1751976372.564,-398.110,435.494,255.030
1751976372.619,-398.090,435.487,255.046
1751976372.668,-398.099,435.492,255.026
1751976372.729,-398.117,435.457,255.012
1751976372.783,-398.125,435.486,255.030
1751976372.830,-398.129,435.480,255.048
1751976372.894,-398.104,435.489,255.036
1751976372.949,-398.108,435.489,255.071
1751976372.992,-398.114,435.484,255.014
1751976373.042,-398.121,435.475,255.050
1751976373.097,-398.134,435.470,255.026
1751976373.156,-398.159,435.461,255.026
1751976373.212,-398.106,435.489,255.041
1751976373.247,-398.124,435.487,255.029
1751976373.287,-398.136,435.476,255.030
1751976373.340,-398.149,435.465,255.061
1751976373.393,-398.139,435.470,255.057
1751976373.434,-398.115,435.489,255.031
1751976373.491,-398.096,435.488,255.049
1751976373.537,-398.110,435.483,255.029
1751976373.584,-398.090,435.482,255.047
1751976373.630,-398.092,435.499,255.028
1751976373.676,-398.102,435.489,255.020
1751976373.719,-398.119,435.500,255.055
1751976373.767,-398.096,435.499,255.036
1751976373.802,-398.104,435.478,255.031
1751976373.835,-398.124,435.476,255.024
1751976373.882,-398.127,435.481,255.035
1751976373.917,-398.063,435.502,255.034
1751976373.956,-398.102,435.494,255.058
1751976374.009,-398.100,435.495,255.023
1751976374.059,-398.115,435.469,255.036
1751976374.113,-398.115,435.478,255.031
1751976374.166,-398.126,435.476,255.030
1751976374.202,-398.083,435.492,255.021
1751976374.249,-398.099,435.488,255.018
1751976374.295,-398.115,435.473,255.016
1751976374.347,-398.133,435.477,255.025
1751976374.402,-398.117,435.490,255.026
1751976374.450,-398.111,435.479,255.058
1751976374.487,-398.118,435.479,255.024
1751976374.527,-398.115,435.479,255.035
1751976374.568,-398.101,435.488,255.034
1751976374.626,-398.118,435.469,255.049
1751976374.676,-398.113,435.489,255.053
1751976374.731,-398.119,435.478,255.029
1751976374.782,-398.127,435.484,255.037
1751976374.828,-398.118,435.500,255.045
1751976374.888,-398.121,435.473,255.018
1751976374.937,-398.141,435.475,255.052
1751976374.993,-398.118,435.479,255.026
1751976375.040,-398.100,435.492,255.018
1751976375.077,-398.117,435.474,255.020
1751976375.114,-398.116,435.478,255.058
1751976375.156,-398.123,435.475,255.028
1751976375.202,-398.094,435.492,254.995
1751976375.247,-398.096,435.498,255.029
1751976375.292,-398.113,435.480,255.037
1751976375.344,-398.098,435.499,255.061
1751976375.382,-398.124,435.496,255.033
1751976375.415,-398.119,435.469,255.047
1751976375.458,-398.094,435.503,255.014
1751976375.503,-398.105,435.484,255.016
1751976375.557,-398.111,435.500,255.028
1751976375.601,-398.106,435.484,255.029
1751976375.639,-398.117,435.494,255.042
1751976375.695,-398.117,435.474,255.018
1751976375.737,-398.094,435.484,255.040
1751976375.772,-398.103,435.484,255.043
1751976375.813,-398.123,435.469,255.018
1751976375.872,-398.129,435.466,255.061
1751976375.926,-398.101,435.478,255.030
1751976375.966,-398.094,435.493,255.044
1751976376.003,-398.101,435.478,255.025
1751976376.036,-398.112,435.473,255.047
1751976376.086,-398.107,435.493,254.997
1751976376.124,-398.113,435.468,255.043
1751976376.180,-398.105,435.473,255.014
1751976376.228,-398.102,435.478,255.024
1751976376.274,-398.115,435.479,255.054
1751976376.309,-398.121,435.489,255.032
1751976376.344,-398.105,435.483,255.050
1751976376.381,-398.118,435.480,255.051
1751976376.429,-398.112,435.484,255.030
1751976376.483,-398.099,435.493,255.038
1751976376.543,-398.121,435.469,255.031
1751976376.607,-398.107,435.482,255.003
1751976376.647,-398.131,435.474,255.031
1751976376.700,-398.150,435.471,255.036
1751976376.744,-398.131,435.481,255.038
1751976376.786,-398.132,435.469,255.016
1751976376.820,-398.107,435.494,255.053
1751976376.860,-398.120,435.479,255.042
1751976376.909,-398.109,435.478,255.025
1751976376.957,-398.100,435.484,255.030
1751976377.003,-398.116,435.479,255.029
1751976377.057,-398.085,435.487,255.005
1751976377.108,-398.149,435.461,255.019
1751976377.156,-398.113,435.485,255.042
1751976377.196,-398.125,435.475,255.044
1751976377.240,-398.095,435.492,255.054
1751976377.278,-398.153,435.477,255.026
1751976377.327,-398.119,435.478,255.025
1751976377.373,-398.133,435.474,255.055
1751976377.418,-398.101,435.478,255.025
1751976377.468,-398.126,435.475,255.042
1751976377.514,-398.114,435.469,255.016
1751976377.554,-398.117,435.486,255.048
1751976377.603,-398.145,435.470,255.032
1751976377.653,-398.121,435.478,255.039
1751976377.698,-398.114,435.468,255.042
1751976377.738,-398.114,435.479,255.055
1751976377.788,-398.101,435.494,255.028
1751976377.839,-398.092,435.485,255.033
1751976377.895,-398.104,435.488,255.011
1751976377.949,-398.142,435.470,255.022
1751976377.987,-398.113,435.473,255.029
1751976378.024,-398.130,435.470,255.055
1751976378.069,-398.112,435.489,255.025
1751976378.106,-398.127,435.475,255.015
1751976378.139,-398.105,435.466,255.028
1751976378.182,-398.133,435.475,255.059
1751976378.232,-398.119,435.484,255.023
1751976378.278,-398.119,435.463,255.045
1751976378.322,-398.111,435.466,255.022
1751976378.362,-398.093,435.494,255.003
1751976378.397,-398.085,435.487,255.027
1751976378.429,-398.105,435.494,255.023
1751976378.470,-398.074,435.486,255.022
1751976378.502,-398.109,435.483,255.040
1751976378.540,-398.094,435.484,255.039
1751976378.597,-398.113,435.484,255.036
1751976378.650,-398.122,435.480,255.016
1751976378.694,-398.093,435.488,255.043
1751976378.736,-398.116,435.484,255.037
1751976378.774,-398.113,435.468,255.043
1751976378.835,-398.108,435.495,255.018
1751976378.896,-398.135,435.485,255.051
1751976378.953,-398.126,435.469,255.031
1751976379.009,-398.116,435.489,255.029
1751976379.043,-398.132,435.471,255.023
1751976379.096,-398.126,435.470,255.037
1751976379.140,-398.113,435.490,255.023
1751976379.181,-398.110,435.484,255.021
1751976379.236,-398.108,435.477,255.032
1751976379.279,-398.111,435.500,255.033
1751976379.329,-398.107,435.478,255.042
1751976379.382,-398.102,435.483,255.048
1751976379.449,-398.103,435.495,255.034
1751976379.501,-398.094,435.493,255.018
1751976379.543,-398.115,435.472,255.030
1751976379.593,-398.112,435.472,255.033
1751976379.630,-398.112,435.495,255.026
1751976379.673,-398.129,435.464,255.041
1751976379.720,-398.121,435.475,255.026
1751976379.769,-398.134,435.464,255.028
1751976379.826,-398.091,435.488,255.029
1751976379.885,-398.123,435.472,255.027
1751976379.929,-398.100,435.495,255.039
1751976379.975,-398.100,435.495,255.046
1751976380.020,-398.123,435.485,255.032
1751976380.076,-398.126,435.486,255.032
1751976380.113,-398.121,435.484,255.023
1751976380.162,-398.107,435.490,255.051
1751976380.201,-398.107,435.489,255.021
1751976380.237,-398.128,435.470,255.022
1751976380.267,-398.111,435.479,255.052
1751976380.310,-398.147,435.467,255.051
1751976380.355,-398.139,435.466,255.057
1751976380.403,-398.111,435.496,255.035
1751976380.453,-398.132,435.470,255.029
1751976380.497,-398.125,435.480,255.048
1751976380.539,-398.093,435.487,255.030
1751976380.590,-398.132,435.485,255.008
1751976380.627,-398.127,435.475,255.046
1751976380.664,-398.143,435.471,255.049
1751976380.703,-398.114,435.474,255.025
1751976380.742,-398.124,435.470,255.047
1751976380.795,-398.134,435.469,255.011
1751976380.850,-398.146,435.481,255.047
1751976380.899,-398.096,435.493,255.041
1751976380.942,-398.105,435.495,255.056
1751976381.002,-398.130,435.485,255.037
1751976381.063,-398.128,435.480,255.021
1751976381.110,-398.097,435.492,255.050
1751976381.161,-398.106,435.473,255.041
1751976381.206,-398.095,435.487,255.041
1751976381.254,-398.103,435.471,255.023
1751976381.294,-398.098,435.486,255.036
1751976381.339,-398.097,435.488,255.037
1751976381.397,-398.100,435.483,255.031
1751976381.451,-398.125,435.470,255.020
1751976381.495,-398.132,435.459,255.037
1751976381.528,-398.112,435.478,255.019
1751976381.569,-398.110,435.473,255.033
1751976381.606,-398.110,435.479,255.061
1751976381.645,-398.121,435.474,255.052
1751976381.691,-398.098,435.487,255.035
1751976381.738,-398.128,435.475,255.023
1751976381.774,-398.123,435.478,255.022
1751976381.825,-398.103,435.479,255.043
1751976381.864,-398.085,435.502,255.011
1751976381.914,-398.095,435.481,255.021
1751976381.961,-398.114,435.473,255.009
1751976382.013,-398.122,435.484,255.036
1751976382.076,-398.147,435.462,255.026
1751976382.128,-398.122,435.481,255.023
1751976382.166,-398.093,435.493,255.040
1751976382.205,-398.092,435.487,255.021
1751976382.254,-398.113,435.484,255.024
1751976382.299,-398.095,435.498,255.019
1751976382.342,-398.097,435.488,255.026
1751976382.387,-398.119,435.489,255.060
1751976382.433,-398.123,435.479,255.038
1751976382.473,-398.093,435.492,255.028
1751976382.515,-398.110,435.489,255.050
1751976382.571,-398.129,435.485,255.041
1751976382.624,-398.116,435.485,255.030
1751976382.661,-398.131,435.470,255.021
1751976382.706,-398.127,435.484,255.033
1751976382.772,-398.116,435.488,255.042
1751976382.822,-398.121,435.480,255.033
1751976382.867,-398.134,435.470,255.041
1751976382.919,-398.128,435.475,255.049
1751976382.974,-398.112,435.494,255.037
1751976383.025,-398.147,435.476,255.036
1751976383.059,-398.088,435.492,255.027
1751976383.093,-398.108,435.494,255.023
1751976383.134,-398.093,435.482,255.018
1751976383.173,-398.110,435.494,255.050
1751976383.213,-398.104,435.477,255.022
1751976383.259,-398.116,435.478,255.011
1751976383.300,-398.114,435.489,255.023
1751976383.337,-398.145,435.461,255.053
1751976383.381,-398.108,435.488,255.036
1751976383.423,-398.123,435.469,255.018
1751976383.463,-398.094,435.487,255.021
1751976383.497,-398.089,435.487,255.035
1751976383.539,-398.078,435.491,255.000
1751976383.603,-398.068,435.485,255.007
1751976383.654,-398.123,435.473,255.037
1751976383.690,-398.101,435.492,255.018
1751976383.738,-398.108,435.473,255.013
1751976383.789,-398.131,435.468,255.037
1751976383.843,-398.144,435.471,255.045
1751976383.888,-398.119,435.485,255.031
1751976383.933,-398.105,435.494,255.042
1751976383.969,-398.132,435.474,255.066
1751976384.001,-398.098,435.493,255.029
1751976384.047,-398.088,435.487,255.020
1751976384.091,-398.092,435.493,255.007
1751976384.146,-398.100,435.492,255.006
1751976384.187,-398.102,435.478,255.028
1751976384.242,-398.096,435.483,255.048
1751976384.295,-398.086,435.497,255.016
1751976384.343,-398.125,435.463,255.024
1751976384.382,-398.100,435.493,255.033
1751976384.439,-398.107,435.480,255.015
1751976384.492,-398.100,435.489,255.062
1751976384.549,-398.098,435.472,255.023
1751976384.593,-398.127,435.470,255.021
1751976384.641,-398.125,435.470,255.056
1751976384.691,-398.113,435.500,255.051
1751976384.738,-398.119,435.479,255.060
